cif,year,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12,i13,i14,i15,i16,i17,i18,i19,i20
18405325,2017,-2411,19527,5569,11756,2202,0,20807,0,0,-3691,0,0,0,0,0,0,0,0,0,0
18405341,2017,0,14914,0,0,14914,0,299,0,0,14615,200,0,20968,20968,10358,10610,0,9981,0,0
18414226,2017,186,381,0,0,381,0,10312,0,0,-9745,200,0,0,0,0,0,0,0,0,0
18414234,2017,3046,2183409,252354,17043,1914012,76881,1384899,313537,0,564900,200,0,2021137,2093288,1623249,470039,0,449701,0,1
18414277,2017,88,16426,0,15601,825,0,185,0,0,16329,200,0,0,840,5461,0,4621,0,4646,0
18414307,2017,0,46836,0,121,46715,0,0,0,0,46836,200,0,14270,14270,3887,10383,0,9954,0,0
18414315,2017,3198,6996,4272,2812,-88,8870,45473,0,0,-26409,200,0,21000,21000,20347,653,0,443,0,1
18414358,2017,14804,330659,0,26928,303731,0,131595,0,0,213868,200,0,926624,926624,818508,108116,0,108116,0,6
18414390,2017,1273613,10030482,1511912,8284661,233909,336452,6722760,0,0,4917787,1500000,0,69556590,72840041,71294234,1545807,0,1361813,0,68
18418368,2017,0,64388,47203,1576,15609,0,413071,0,0,-348683,200,0,248484,248484,232996,15488,0,13003,0,3
18425110,2017,8363,37501,37501,0,0,0,191914,0,0,-146050,500,0,0,0,0,0,0,0,0,0
18425128,2017,0,31352,21962,0,9390,0,49503,0,0,-18151,200,0,33428,33428,53660,0,20232,0,21235,0
18433325,2017,0,88,0,0,88,0,164285,0,0,-164197,200,0,0,56,344,0,288,0,288,0
18440390,2017,0,623,0,0,623,0,25685,0,0,-25062,1500,0,0,0,0,0,0,0,0,0
18444294,2017,23418,35790,0,4850,30940,1166,3098,0,0,57276,200,0,111299,111299,50924,60375,0,57036,0,1
18444324,2017,404703,357436,295960,28873,32603,0,724904,0,0,37235,200,0,4619341,4621776,4578165,43611,0,37035,0,15
18444332,2017,0,0,0,0,0,0,22002,0,0,-22002,200,0,0,0,0,0,0,0,0,0
18454204,2017,67806,65744,17649,13025,35070,2628,88059,0,0,48119,200,0,274968,276917,225418,51499,0,48735,0,3
18454212,2017,212367,4318460,1547028,2752086,19346,4056,2218395,0,0,2316488,10710,0,6890868,6921781,6327139,594642,0,515017,0,15
18457987,2017,68683,14095,0,2000,12095,31246,84195,0,0,29829,420,0,137641,162116,110778,51338,0,48674,0,2
18458656,2017,0,52,0,0,52,0,1200,0,0,-1148,200,0,0,0,0,0,0,0,0,0
18458680,2017,0,200,0,0,200,0,0,0,0,200,200,0,0,0,0,0,0,0,0,0
18458699,2017,294734,1219977,928830,226681,64466,7255,1340206,0,0,181760,200,0,1651461,1686196,1546445,139751,0,115611,0,8
